2022

506.5, 0, 0
560, 2, 2
13.5, 3, 0
6.5, 4, 0
344, 4, 4
16, 5, 2
529, 6, 6
21, 7, 2
19, 7, 6
24, 8, 6
652.5, 8, 8
14.5, 9, 0
13, 10, 4
18, 10, 8
672, 10, 10
9, 11, 4
34.5, 12, 6
49.5, 12, 8
594.5, 12, 12
18, 14, 4
13.5, 14, 8
2.5, 14, 10
500.5, 14, 14
12, 15, 0
23, 15, 8
15, 15, 14
38.5, 16, 2
6, 16, 10
556.5, 16, 16
22, 17, 10
23, 17, 12
17, 17, 14
10.5, 18, 0
467.5, 18, 18
7, 19, 6
24.5, 19, 10
2.5, 19, 16
16, 19, 18
13.5, 20, 2
15, 20, 10
10, 20, 14
6.5, 20, 18
538.5, 20, 20
7, 21, 4
23.5, 21, 8
17, 21, 12
19, 22, 2
14, 22, 20
556, 22, 22
8, 23, 4
7, 24, 0
19, 24, 12
8.5, 24, 16
4, 24, 18
650, 24, 24
20, 25, 2
13, 25, 4
20.5, 26, 0
14.5, 26, 2
10.5, 26, 16
45, 26, 20
40.5, 26, 24
605.5, 26, 26
25, 27, 6
8.5, 27, 16
24.5, 27, 22
24, 27, 26
23.5, 28, 6
461.5, 28, 28
7.5, 30, 0
6.5, 30, 10
22, 30, 14
322, 30, 30
12.5, 31, 20
15.5, 31, 22
15, 31, 24
16, 32, 12
489, 32, 32
7, 34, 2
12.5, 34, 18
18.5, 34, 32
521, 34, 34
3.5, 35, 28
10, 36, 2
23.5, 36, 4
25, 36, 20
4, 36, 22
9, 36, 26
18.5, 36, 34
559, 36, 36
16, 37, 4
19, 37, 8
24, 37, 12
21, 37, 20
46, 37, 24
22, 37, 32
11, 38, 10
617, 38, 38
18.5, 39, 22
17.5, 39, 36
4, 40, 18
11, 40, 24
17, 40, 32
543.5, 40, 40
23.5, 42, 8
15, 42, 22
20, 42, 26
17, 42, 28
22, 42, 30
16, 42, 38
14.5, 42, 40
501, 42, 42
13, 43, 36
21, 43, 40
401.5, 44, 44
25.5, 45, 20
19.5, 45, 32
11.5, 46, 2
6, 46, 8
13, 46, 20
24, 46, 40
447.5, 46, 46
19.5, 47, 14
12, 48, 16
19.5, 48, 18
23, 48, 28
11.5, 48, 32
10.5, 48, 38
568, 48, 48
24.5, 50, 32
333, 50, 50
17.5, 51, 10
23.5, 51, 22
9, 51, 24
13.5, 51, 34
9.5, 52, 36
483.5, 52, 52
5.5, 53, 16
21, 53, 50
3.5, 54, 18
17, 54, 20
513, 54, 54
24, 55, 6
16, 55, 46
12.5, 55, 50
22, 56, 16
11, 56, 38
43.5, 56, 40
16, 56, 48
478, 56, 56
17.5, 57, 2
6, 58, 24
391.5, 58, 58
7, 59, 32
11.5, 59, 38
10.5, 60, 16
2.5, 60, 18
453, 60, 60
4, 61, 0
15.5, 61, 14
6.5, 61, 22
19.5, 61, 46
19.5, 61, 50
23, 62, 34
532, 62, 62
20.5, 63, 0
6, 63, 20
24.5, 63, 22
25.5, 63, 26
5, 63, 42
25, 63, 44
11.5, 63, 46
15, 64, 2
3.5, 64, 4
438.5, 64, 64
2.5, 65, 0
22, 66, 34
20, 66, 38
360, 66, 66
20.5, 67, 0
13.5, 67, 24
21.5, 67, 32
13.5, 68, 14
433, 68, 68
23.5, 69, 6
13.5, 69, 12
19, 69, 18
4.5, 69, 26
1.5, 69, 30
23, 69, 52
5.5, 69, 62
25.5, 70, 24
3.5, 70, 34
372, 70, 70
18, 71, 0
1.5, 71, 50
17.5, 71, 62
18.5, 71, 64
20.5, 72, 8
20, 72, 28
18, 72, 60
3, 72, 62
398, 72, 72
14, 74, 38
377.5, 74, 74
25, 75, 2
17.5, 75, 8
22, 75, 38
9, 75, 44
21.5, 75, 74
19, 76, 4
8.5, 76, 12
3.5, 76, 22
352, 76, 76
25, 77, 14
9, 77, 24
38, 77, 38
14, 77, 68
6.5, 77, 72
24.5, 78, 60
528, 78, 78
17, 79, 14
10, 79, 16
4, 79, 22
14, 79, 50
2, 80, 4
24, 80, 24
507.5, 80, 80
14.5, 81, 6
3.5, 81, 48
9.5, 81, 60
13, 81, 68
21.5, 82, 38
33, 82, 40
475, 82, 82
19, 83, 18
5, 83, 66
23, 83, 72
14, 83, 80
34, 84, 26
20, 84, 60
2, 84, 66
409, 84, 84
2, 85, 38
22, 85, 68
14.5, 86, 48
380, 86, 86
9.5, 87, 2
21.5, 87, 26
13, 87, 28
18, 87, 42
19, 87, 56
9.5, 88, 30
7.5, 88, 38
366, 88, 88
368, 90, 90
25, 91, 16
18.5, 91, 28
6.5, 91, 74
4.5, 92, 28
16.5, 92, 88
419, 92, 92
8, 93, 12
21, 93, 20
6, 93, 70
2, 94, 18
9.5, 94, 38
13, 94, 62
12, 94, 76
21, 94, 82
22.5, 94, 86
542, 94, 94
2.5, 95, 12
21.5, 95, 64
22.5, 95, 86
13.5, 95, 94
246, 96, 96
6.5, 98, 2
10, 98, 28
21, 98, 30
25, 98, 56
22, 98, 62
10.5, 98, 80
15.5, 98, 92
495, 98, 98
8, 100, 18
19, 100, 28
13.5, 100, 36
481.5, 100, 100
2, 101, 4
13.5, 102, 12
6, 102, 40
22.5, 102, 56
15.5, 102, 68
7, 102, 78
395, 102, 102
15.5, 104, 16
10, 104, 20
4.5, 104, 82
18.5, 104, 92
451.5, 104, 104
18, 105, 14
25.5, 105, 86
22, 105, 88
24, 106, 0
27, 106, 52
25, 106, 54
3, 106, 80
418.5, 106, 106
21, 107, 48
20, 107, 62
13.5, 107, 84
17.5, 108, 64
5.5, 108, 74
14, 108, 90
506.5, 108, 108
7.5, 109, 12
3.5, 109, 24
5, 109, 36
12, 109, 54
13, 109, 62
16.5, 109, 84
11.5, 109, 86
2, 110, 30
25, 110, 32
24.5, 110, 90
369, 110, 110
2, 111, 20
19, 111, 38
23, 111, 44
25, 111, 100
19.5, 112, 40
395.5, 112, 112
18, 113, 38
15.5, 113, 42
20.5, 113, 52
24, 114, 46
13.5, 114, 62
380.5, 114, 114
16, 115, 40
16, 115, 54
8.5, 115, 66
1.5, 115, 80
7.5, 115, 92
10.5, 115, 102
20, 115, 106
24.5, 115, 108
3.5, 115, 114
21.5, 116, 20
8.5, 116, 28
4, 116, 36
20.5, 116, 44
6.5, 116, 58
20, 116, 66
535, 116, 116
4, 117, 8
24, 117, 94
1.5, 117, 108
297, 118, 118
20, 120, 28
9.5, 120, 34
18.5, 120, 42
11, 120, 68
17, 120, 74
11.5, 120, 94
446, 120, 120
9, 121, 52
21.5, 121, 58
305.5, 122, 122
25, 123, 6
8.5, 123, 28
3, 123, 102
4.5, 123, 114
18.5, 124, 38
16.5, 124, 78
355.5, 124, 124
11.5, 125, 56
7, 126, 12
16.5, 126, 14
16, 126, 50
450, 126, 126
5.5, 127, 26
19.5, 127, 72
5, 128, 38
5, 128, 102
357.5, 128, 128
19.5, 129, 60
9, 129, 114
257, 130, 130
9, 131, 36
18.5, 131, 48
19, 131, 54
20, 131, 108
24.5, 132, 14
24.5, 132, 60
4, 132, 122
421.5, 132, 132
6.5, 133, 74
12.5, 134, 36
5.5, 134, 76
24.5, 134, 96
3.5, 134, 116
469.5, 134, 134
5, 135, 122
24.5, 136, 0
20, 136, 92
393, 136, 136
15.5, 137, 70
13, 137, 102
9.5, 137, 124
8, 138, 10
12, 138, 60
20.5, 138, 100
363, 138, 138
18.5, 139, 30
24, 139, 42
22, 139, 56
21, 139, 64
1, 139, 68
8.5, 139, 90
9.5, 139, 102
17.5, 139, 134
11, 140, 62
5.5, 140, 112
308, 140, 140
14.5, 141, 56
6, 141, 102
12, 141, 104
9, 142, 28
346, 142, 142
9.5, 143, 44
17.5, 143, 46
8.5, 143, 68
19, 144, 66
